Step,Node,Series,ElapsedTime,EpochTime,CPUFrequency,CPUTime,CPUUtilization,RSS,VMSize,Pages,ReadMB,WriteMB
-1,r4858666-n911952,0,1910,1611620089,3403,0.0,0.0,832,7776,0,0.0,0.0
-1,r4858666-n911952,0,1920,1611620099,3403,0.0,0.0,832,7776,0,0.0,0.0
-1,r4858666-n911952,0,1930,1611620109,3403,0.0,0.0,832,7776,0,0.0,0.0
-1,r4858666-n911952,0,1940,1611620119,3403,0.0,0.0,832,7776,0,0.0,0.0
-1,r4858666-n911952,0,1950,1611620129,3403,0.0,0.0,832,7776,0,0.0,0.0
-1,r4858666-n911952,0,1960,1611620139,3403,0.0,0.0,832,7776,0,0.0,0.0
-1,r4858666-n911952,0,1970,1611620149,3403,0.0,0.0,832,7776,0,0.0,0.0
-1,r4858666-n911952,0,1980,1611620159,3403,0.0,0.0,832,7776,0,0.0,0.0
-1,r4858666-n911952,0,1990,1611620169,3403,0.0,0.0,832,7776,0,0.0,0.0
-1,r4858666-n911952,0,2000,1611620179,3403,0.0,0.0,832,7776,0,0.0,0.0
-1,r4858666-n911952,0,2010,1611620189,3403,0.0,0.0,832,7776,0,0.0,0.0
-1,r4858666-n911952,0,2020,1611620199,3403,0.0,0.0,832,7776,0,0.0,0.0
-1,r4858666-n911952,0,2030,1611620209,3403,0.0,0.0,832,7776,0,0.0,0.0
-1,r4858666-n911952,0,2040,1611620219,3403,0.0,0.0,832,7776,0,0.0,0.0
-1,r4858666-n911952,0,2050,1611620229,3403,0.0,0.0,832,7776,0,0.0,0.0
-1,r4858666-n911952,0,2060,1611620239,3403,0.0,0.0,832,7776,0,0.0,0.0
-1,r4858666-n911952,0,2070,1611620249,3403,0.0,0.0,832,7776,0,0.0,0.0
-1,r4858666-n911952,0,2080,1611620259,3403,0.0,0.0,832,7776,0,0.0,0.0
-1,r4858666-n911952,0,2090,1611620269,3403,0.0,0.0,832,7776,0,0.0,0.0
-1,r4858666-n911952,0,2100,1611620279,3403,0.0,0.0,832,7776,0,0.0,0.0
-1,r4858666-n911952,0,2110,1611620289,3403,0.0,0.0,832,7776,0,0.0,0.0
-1,r4858666-n911952,0,2120,1611620299,3403,0.0,0.0,832,7776,0,0.0,0.0
-1,r4858666-n911952,0,2130,1611620309,3403,0.0,0.0,832,7776,0,0.0,0.0
-1,r4858666-n911952,0,2140,1611620319,3403,0.0,0.0,832,7776,0,0.0,0.0
-1,r4858666-n911952,0,2150,1611620329,3403,0.0,0.0,832,7776,0,0.0,0.0
-1,r4858666-n911952,0,2160,1611620339,3403,0.0,0.0,832,7776,0,0.0,0.0
-1,r4858666-n911952,0,2170,1611620349,3403,0.0,0.0,832,7776,0,0.0,0.0
-1,r4858666-n911952,0,2180,1611620359,3403,0.0,0.0,832,7776,0,0.0,0.0
-1,r4858666-n911952,0,2190,1611620369,3403,0.0,0.0,832,7776,0,0.0,0.0
-1,r4858666-n911952,0,2200,1611620379,3403,0.0,0.0,832,7776,0,0.0,0.0
-1,r4858666-n911952,0,2210,1611620389,3403,0.0,0.0,832,7776,0,0.0,0.0
-1,r4858666-n911952,0,2220,1611620399,3403,0.0,0.0,832,7776,0,0.0,0.0
-1,r4858666-n911952,0,2230,1611620409,3403,0.0,0.0,832,7776,0,0.0,0.0
-1,r4858666-n911952,0,2240,1611620419,3403,0.0,0.0,832,7776,0,0.0,0.0
-1,r4858666-n911952,0,2250,1611620429,3403,0.0,0.0,832,7776,0,0.0,0.0
-1,r4858666-n911952,0,2260,1611620439,3403,0.0,0.0,832,7776,0,0.0,0.0
-1,r4858666-n911952,0,2270,1611620449,3403,0.0,0.0,832,7776,0,0.0,0.0
-1,r4858666-n911952,0,2280,1611620459,3403,0.0,0.0,832,7776,0,0.0,0.0
-1,r4858666-n911952,0,2290,1611620469,3403,0.0,0.0,832,7776,0,0.0,0.0
-1,r4858666-n911952,0,2300,1611620479,3403,0.0,0.0,832,7776,0,0.0,0.0
-1,r4858666-n911952,0,2310,1611620489,3403,0.0,0.0,832,7776,0,0.0,0.0
-1,r4858666-n911952,0,2320,1611620499,3403,0.0,0.0,832,7776,0,0.0,0.0
-1,r4858666-n911952,0,2330,1611620509,3403,0.0,0.0,832,7776,0,0.0,0.0
-1,r4858666-n911952,0,2340,1611620519,3403,0.0,0.0,832,7776,0,0.0,0.0
-1,r4858666-n911952,0,2350,1611620529,3403,0.0,0.0,832,7776,0,0.0,0.0
-1,r4858666-n911952,0,2360,1611620539,3403,0.0,0.0,832,7776,0,0.0,0.0
-1,r4858666-n911952,0,2370,1611620549,3403,0.0,0.0,832,7776,0,0.0,0.0
-1,r4858666-n911952,0,2380,1611620559,3403,0.0,0.0,832,7776,0,0.0,0.0
-1,r4858666-n911952,0,2390,1611620569,3403,0.0,0.0,832,7776,0,0.0,0.0
-1,r4858666-n911952,0,2400,1611620579,3403,0.0,0.0,832,7776,0,0.0,0.0
-1,r4858666-n911952,0,2410,1611620589,3403,0.0,0.0,832,7776,0,0.0,0.0
-1,r4858666-n911952,0,2420,1611620599,3403,0.0,0.0,832,7776,0,0.0,0.0
-1,r4858666-n911952,0,2430,1611620609,3403,0.0,0.0,832,7776,0,0.0,0.0
-1,r4858666-n911952,0,2440,1611620619,3403,0.0,0.0,832,7776,0,0.0,0.0
-1,r4858666-n911952,0,2450,1611620629,3403,0.0,0.0,832,7776,0,0.0,0.0
-1,r4858666-n911952,0,2460,1611620639,3403,0.0,0.0,832,7776,0,0.0,0.0
-1,r4858666-n911952,0,2470,1611620649,3403,0.0,0.0,832,7776,0,0.0,0.0
-1,r4858666-n911952,0,2480,1611620659,3403,0.0,0.0,832,7776,0,0.0,0.0
